Id,ProductId,Summary,Text
65663,B001BM3ON6,Great broth at a great price,"This is one of the very few broths that doesn't have MSG as a hidden ingredient. Sometimes they hide it as yeast extract. They can even hide it in the ""natural flavor"" category. This is just broth, the way it should be."
78105,B0011664YS,Very poor quality,"My husband and I love Cella's chocolate-covered cherries and I've ordered them many times from Amazon, but each time used a different seller. This batch is awful. The chocolate is melted not crisp, the bottoms of each piece looks as if a thumb has pushed them up and there doesn't appear to be any liquid center. Some of the pieces are sticky, too. I will never use this seller again. I wasted my money and that makes me angry."
39040,B001LQTCQA,I feel cheated,"I ordered this item as a gift for me dear friend. But unfortunately, Amazon has put the WRONG PICTURE on this item. I ordered this thinking that I would receive brown sugar, as pictured, but instead was very angry and disappointed to find a BLUE box of WHITE sugar. Not brown. And since this is a grocery item, I'm not even allowed to return the product that I never wanted to begin with. This is very unsatisfying, coming from Amazon itself. Very unprofessional. And this is after I went out of my way to promote Amazon to everyone I knew, raving about how fantastic it was, just to be met with a large amount of disappointment. VERY ANGRY."
9253,B006N3IG4K,One of my favorites!,"I have had all of the various Keurigs since they came on the market for home use. Thus,I have tried pretty near all of the various k-cups. This is one of my top 5 favorites. Love the coconut in it, and the wonderful coffee flavor. YUM!!!!"
312992,B0014C5OB8,jolly ranchers,when i recieved my jolly ranchers there were melted. I will not buy anything else from this company.<br />Ingrid Averhart
60598,B003QNJYXM,Great Energy Booster,"I was not sure this product would live up to the ads, but it gave me the energy boost I needed when I needed it when I had to work the overnight shift."
72857,B000FPGZFY,added fish oil to this for a BABY??,I am not happy with Gerber at all.  I researched their products and they do not have to list ingredients if below a certain percentage.  (LIKE IF GREEN BEANS WERE MADE ON A CONVEYER OF WHERE RICE WAS MADE AND THE RICE WAS UNDER A CERTAIN AMOUNT TRACED THEY DO NOT LIST IT ON THE INGREDIENTS).  The beans I did not know have fish oil in it.  It is now listed on the product ingredients.
314925,B000ANQQQO,"Mostly clover, Only 8% broccoli","Even its label printed it contained only 8% broccoli, 66% clover.  That's about how it sprouted too.  NOT how it was advertised."
3343,B005K4Q1VI,FAVORITE HOT COCOA!,"This is the absolute best hot cocoa for the Keurig Brewers. All of the other Hot Cocoa's that we have tried we had to ""doctor"" to make them taste good. We had to add more cocoa and more sugar. I was pretty much making my own cocoa, which defeated the purpose of the brewer. But the Grove Square Hot Cocoa does not need any help. In my opinion, It has just the right amount of flavor!!"
151800,B00315WGNK,Great product for the money.,I used to buy Beef Jerky from the local store. But this is heaven woow that is it. Recomend this product to anyone.
294520,B003WMA8WI,my dog didn't like them,My dog wouldn't eat these and neither would my daughter's two dogs.  I don't know what it is about the flavor but they didn't like them.
5985,B00063480O,Best Treats Ever!,"Old Mother Hubbard treats are the best and at a reasonable price. Their treats come in a lot of different sizes and flavors. They offer a variety of products that all dogs will love. My three black labs love the peanut butter and Bac'N""Cheez."
8256,B000E15DFM,"Bit salty, but otherwise excellent.","I'm not a huge fan of salt, so take that warning with a grain of, well... you know.  For most people the salt on these is probably fine.  They stay crispy over long periods of storage, even after the package has been opened and split into tupperware containers, they're reasonably sturdy, they pair well with all but the saltiest cheeses (wouldn't put blues on them), they pair GREAT with unsalted pb... just a great all-around cracker to keep in the house.  They've become a staple of my diet and, unlike every other cracker I've bought in bulk, and there have been many, they haven't developed some weird off-flavor due to over-familiarization or the cracker becoming stale.  They still taste good, like a simple cracker.  I'll be ordering them again!"
59640,B000W5SLB8,flatus,this dog food caused the most horrible gas my dogs have ever had.  I changed dog food and the gas is gone.  Would never give this to my dogs again.
553883,B000PEDTSQ,Great on Popcorn,That is what we use it for. We even take it to the movie Theatre.
5079,B005H3BYHI,not even close to coconut water!,"Coconut water should not be sweetened!!! Actually ""NO SUGAR SHOULD EVER BE ADDED"" sweeting things is an american custom, which ruins the real flavor of coconut water. I lived in Jamaica for 4 years and the bahamas for 2, and the coconut water from real coconut does not have any added sugar, its natural.<br />I will stick to buying the brown hard shell coconuts from the supermarket and drink that it's more natural and unaltered. These boxed, caned and packaged coconut water are nasty, i am still yet to try a brand, one of the many that i have tried that will make me wanna buy it."
38844,B000ICO8GW,switched to Starbucks,"The Gevalia coffees are a little weak for my taste, so I switched to all Starbucks House Blend and Africa Kitamu."
179,B0025VRCJY,ReaLemon Juice from Amazon.,"This is not as good as the Frozen Lemon juice, but it is good. It has a slightly odd flavor, perhaps from a preservative. Sure wish I could order the frozen juice!"
465245,B000FSRN7U,What real jerky taste like,S what if it is salty it is jerky.  Just eat a few pieces when you are out for a hike and drink your water.  No need to eat a whole bag at once and OD on the salt
526686,B007PA30TG,joe-74,"didn't get ,quite the taste i wanted,brought thru amazon. but overall will still keep using this product,until it runs out."
531,B000G6RYNE,Great deal,These Backyard BBQ Kettle Chips were a great deal with the promo code.  It was nice to have a larger size bag.  Some Kettle Chips in the grocery store are only about 5 ounces and we polish them off in one family lunch!  They arrived fresh and were not in crumbles as some other chips from Amazon Grocery have been.  Great flavor and All Natural!
6030,B001E2FMLK,Ridiculous price,The advertised regular price of $99.99 is ridiculous.  5 hour energy drinks are widely available for $2.00 each.  Don't buy from sellers who inflate prices and charge ridiculous amounts.  You can get a case of 12 for $20 right here on Amazon.
6377,B000N9HXZ8,Very Very Good,"I'm so glad to shop at Amazon.com it have everything you need,I<br />love getting my season from ""Marshalls Creek Spices"" it fresh, and<br />taste, and good try it you will like it I'm so glad to know about<br />amazon.com I wouldn't know about ""Marshalls Creek Spices""<br /><br />  Thank You<br />  Miss Andernette Anderson<br />  God Bless"
324160,B000JMDJ5C,spice,"Since there wasn't any ingredient listing, I didn't know I couldn't use it until it arrived. I am gluten free...sorry!"
30424,B0017L3NBE,Sunflower seeds without shells,This is a lot of standard seeds not bad but not great either. And too many to bother eating them all before they will go bad Oh well
425323,B003GAJF4S,very good rice,I buy this from Amazon because our local grocery stores do not carry any form of this rice. Just do not overcook this. I tried it in a rice cooker so it would be done when I came back home. It was way overdone -  just follow directions on the box.
241844,B0081XPTBS,"If you've got to use formula, use this one",Our baby likes this formula and we like that it's organic.  We use one bottle a day at bedtime to give her a boost of iron and DHA/ARA.
43451,B001EQ4P2I,Can I offer you ladies a cool beverage or a tasty snack?,"These almonds are very tasty and popular at my workplace. If you've had wasabi peas, you'll probably like these too. ""BOLD"" is a bit of an overstatement, as these almonds are not as intense as the peas with the nasal burn, but still do have a bit of kick. I wouldn't say the soy sauce flavor is that apparent, though, but I'm not counting that against the product.<br /><br />Most wasabi-flavored snacks really contain horseradish because it is a cheaper substitute. Wasabi is notoriously difficult to cultivate and the chemicals that give it its characteristic pungency are volatile.<br /><br />I like these a whole lot and routinely buy several cans of them from my drugstore whenever they are on sale. My mom's factory wo-workers like these too. However, I took this to a baseball game and it was almost universally hated. Go figure!"
6904,B001LG945O,"Questionable ""healthy"" drink...","Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.<br /><br />It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.<br /><br />So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.<br /><br />You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.<br /><br />Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract."
72665,B004X3VRLG,tasteless,"I have a picky dog with tummy troubles who has to eat a prescription diet.  She loves the Newman's treats but they are too hard for her since she is missing half her teeth.  Still, occasionally I hear a crunching sound and she is munching down a Newman's.  I was hoping she would knaw on these treats and thought the center would be a little easier to eat.  Here's how the trial went:<br /><br />Me:  opening the bag ""you want a treat?""<br />Dog:  tail wagging, ears perked up and looking at me intently<br />Me:  I pull one treat from the bag and hand it to her<br />Dog:  She takes it carefully and sets it on the floor. ""sniff, sniff"".  She looks back up at me.  ""sniff"".  She walks away and lays down in her bed.<br />Me:  I pick up the treat and sniff and don't smell anything.  This doesn't mean much since I'm not a dog.  I pull on the outside ""wrapping"".  It's pretty tough.  I push the middle up a little.  It's hard!  I was expecting a softer middle. I taste the middle.  It's tasteless.<br /><br />I tried again to tempt her with one of these treats by giving it to her in place of our nightly ""bite of cheese"" ritual.  Once again she just sniffed of it and then ignored it.  The other treats I've tried with her (beggin strips, puperoni, blue bison apple/yogurt biscuits, milk bone) she will either attempt to eat or carry around in her mouth for several minutes looking for a safe place to hide it.  These treats don't even get the honor of being buried."
19639,B000084ETV,WARNING!!!!,"I used to be a fan of Canidae, but after $2k in recent vet bills and a very sick dog, I found out there is a HUGE amount of Consumer Affairs complaints about this company.<br /><br />After blood work, ultrasound and many other tests trying to figure out why my dog wasn't eating, was throwing up on the rare occasion he did, had pockets of gas the size of base balls (he is a small dog) and had all the symptoms of kidney and liver failure, my vet determined it might be the food. I found that hard to believe, but we couldn't find anything else wrong. If you read the complaints you will see many people have lost their dogs. They started using one of the very companies for production whose imported food killed so many animals a year or so ago.<br /><br />As soon as I quit feeding him this poison, he started getting better. I was one of the lucky ones since my pet did not die, but as I write this, he still has not gained all his weight back.<br /><br />The company is acting as if nothing is wrong. Probably on the advice of their attorneys.<br /><br />You don't need to take my word for it, please read up... http://www.consumeraffairs.com/pets/canidae.html"
62651,B000I1OLT2,ITS ALL NATURAL AND IT TASTE LIKE IT....VERY HEALTHY THOUGH..,"So this is the first green tea ive bought and the second ive tasted. The first one i tasted was alittle better tasting. This stash green tea however does taste lets say, 'natural'. what i mean by that is it taste exactly like what it is, all natural dried herbs. It does look like leafs though not just crushed up almost powdery stuff like the other bag i drank. Im not quite sure what green tea is supposed to taste like but this one is NOT good but its NOT that bad either and its also NOT sweet at all. But hey i am drinking green tea for its health benefits not for its flavor. Overall though i DO recommend this green tea just like the name says it does appear to be premium green tea judging by how it looks and the 'natural' taste, so if your just after those health benefits you wont be disappointed if you want good taste this probably wont make you happy."
4176,B004391DK0,The Best Gluten Free Pancake Mix!!!!!!,"I could not believe how great this mix tasted...it's like eating the regular one.  It came out soooooo good, fluffy and delicious!!!!!"
491557,B001EO773O,bitter,I would not purchase this coffee again. Although drinkable- it needs a lot of creamer to drown out the bitterness.
3140,B000FDKQCY,What a Great Product,"I just got my Bread Machine for Christmas, so being a novice I thought I would try to Keep It Simple :)  The Hodgson Mill Products are wonderful.  Everything is included even the yeast.  The Bread came out delicious, it was easy to slice.  It is like eating a country white bread not soft n mushy like traditional white bread.  My family enjoyed this it makes great toast as well. If you try this I think you will be happy with it"
9221,B006N3IG4K,Works for me.,"This is a good tasting K-cup from a guy who drinks coffee black and prefers a bold, full flavored taste. I would recommend."
22779,B001EO7LQC,Carried at IKEA,"Personally, would cut the added butter or vegetable oil by 1/2 but that is a personal taste.  Would buy again.  As I said, IKEA carries this mix."
3598,B001QEF4XC,Best Dog Food For the Price!,"It's amazing how little popularity that Diamond Pet Foods seems to have considering the quality ingredients their foods contain!  I worked at a pet store for about four years. Our number one recommendations on foods were Natural Balance and Wellness- two EXCEPTIONAL foods that are pretty expensive.  But for those owners who have multiple dogs or even one large breed dog, those brands can cripple your budget.  So when I would get customers who absolutely LOVED their pets and wanted to be able to feed them healthy food without breaking their banks, I recommended Diamond.  Diamond dog food costs about the same as those commercial brands like Purina and Iams, but contains ONLY natural, healthy ingredients.  Just remember, the less garbage you feed your dog (by-products, fillers) the less your dog uses the bathroom- AND they stay fuller, longer!"
4608,B00584HTX4,Great!,I have tried all of the flavors and every one of them are all delicious! They are great for parties and entertaining!
40404,B001ELL3DM,Good for you,"A lot of fiber, pretty tasteless, so I add a lot of fruit to it...and often mix in another cereal.  I like to look forward to my breakfast, and with this I don't unless I do the above.  But, I bought it for the fiber, and for the lack of HFCS, which is what I got.  The pack of six will last a long time, and doubt that I will re-order now that the health food store is starting to carry it, and I can get it one box at a time when I need it."
2470,B002JX7GVM,Best ever!,I have tried all the different brands of coconut water and O.N.E. is my favorite and O.N.E. Coconut Water with a Splash of Pineapple is my favorite flavor. I wish the price would come back down I absolutely love this stuff!
5965,B00063480E,My pups gobble them down!,"Old Mother Hubbard biscuits (we've tried these as well as the puppy variety) are the only true biscuits my dogs like! They would eat the whole bag if I let them. The only thing I don't like is they contain wheat, but as long as your dog doesn't have a wheat allergy, it's no big deal. I would definitely recommend them."
